,episode,score,avg_score,epsilon
62,62,-147.24596009243714,-144.56028002085932,0.04960000000009421
63,63,-108.1101184006171,-143.99074624554305,0.01
64,64,-102.20923379665693,-143.3479537463294,0.01
65,65,-91.87021648888243,-142.56798803030748,0.01
66,66,-128.42026662560468,-142.35682800934177,0.01
67,67,-72.84250206494778,-141.3345585101595,0.01
68,68,-98.22383011061457,-140.70976534494872,0.01
69,69,-134.56310164800644,-140.6219558635638,0.01
70,70,-126.47366564908388,-140.42268417040214,0.01
71,71,-75.59508552551917,-139.52230085588988,0.01
72,72,-123.38802855953965,-139.30128342717276,0.01
73,73,-35.73044884705805,-137.9016775544685,0.01
74,74,-42.33004858572032,-136.62738916821854,0.01
75,75,-75.80578002365024,-135.82710483736895,0.01
76,76,-45.53742996190194,-134.6545116571681,0.01
77,77,-12.843769238224768,-133.09283547230984,0.01
78,78,-44.24381889931506,-131.96816437644915,0.01
79,79,-6.124515240871033,-130.3951187622544,0.01
80,80,7.848343082864144,-128.6884093567591,0.01
81,81,-45.436449758271955,-127.67314155677757,0.01
82,82,-15.910574438111576,-126.32660460354063,0.01
83,83,-9.115876166795909,-124.93123878881748,0.01
84,84,-44.52226062854287,-123.9852508104613,0.01
85,85,-34.23778131660968,-122.94167558378861,0.01
86,86,-21.97780508220288,-121.78117132514969,0.01
87,87,-50.77825443841235,-120.9743199968913,0.01
88,88,-15.548553562465159,-119.78976082347077,0.01
89,89,-24.854028503088276,-118.73491935324431,0.01
90,90,-39.36010409142625,-117.86266863608147,0.01
91,91,-43.971000977337525,-117.05949833544294,0.01
92,92,-66.69009548406032,-116.51789185317,0.01
93,93,-26.84102069248766,-115.56388258550317,0.01
94,94,-69.60427892577776,-115.08009728382184,0.01
95,95,-26.326309036766055,-114.1555786562484,0.01
96,96,-13.660705628362262,-113.11954903740421,0.01
97,97,-37.52829884861013,-112.34820974976346,0.01
98,98,-41.94246568794999,-111.63704061782595,0.01
99,99,-80.80909936712301,-111.32876120531891,0.01
100,100,-77.45525238451546,-108.48140831694135,0.01
101,101,-50.909525858759736,-108.00770216969917,0.01
102,102,-33.11042673373114,-105.93066896111935,0.01
103,103,-22.651428557812206,-105.003353871972,0.01
104,104,-50.86158591815541,-104.37889935445132,0.01
105,105,-94.71436179712958,-101.35341085916065,0.01
106,106,-107.65041716654642,-101.43041875224898,0.01
107,107,-50.033136203668136,-101.02267409270631,0.01
108,108,-20.935953694711863,-100.30950980992138,0.01
109,109,-13.552557199311734,-98.80043641290476,0.01
110,110,-39.593323291338,-97.3225119774911,0.01
111,111,6.948875710352686,-94.78347110096023,0.01
112,112,-40.68851968274564,-94.60315634943828,0.01
113,113,-30.403535365656587,-93.46321685797197,0.01
114,114,192.53514946585113,-90.33400483424315,0.01
115,115,-27.334270365926542,-90.45312249176563,0.01
116,116,-88.60891851230174,-88.4426341852074,0.01
117,117,122.84551354924255,-85.84932684854297,0.01
118,118,-13.56523979772064,-85.29451966047871,0.01
119,119,-17.676986295470144,-85.19161552154088,0.01
120,120,-84.38325538275868,-84.34440247103818,0.01
121,121,-340.92157221865523,-86.30429411390547,0.01
122,122,-178.82404729496992,-87.3755211881686,0.01
123,123,-293.0173765293821,-88.30242456542021,0.01
124,124,-6.583861992809754,-86.72747517633601,0.01
125,125,-114.94559129961806,-87.14454494803293,0.01
126,126,-21.351853434992165,-84.15941846571184,0.01
127,127,-147.98606942993285,-83.53013722193566,0.01
128,128,-79.57728369613926,-83.50076824185962,0.01
129,129,-42.03740018827176,-82.59251636307272,0.01
130,130,122.18188554450539,-80.57229468363379,0.01
131,131,-54.327400785843686,-80.12835983979063,0.01
132,132,-111.2981769718533,-78.01328664619915,0.01
133,133,-3.8471626441126148,-78.48300951463773,0.01
134,134,9.854883783369303,-77.99713438060206,0.01
135,135,-479.84116941837317,-81.90254148068679,0.01
136,136,-270.33306705731275,-81.65369823622288,0.01
137,137,-167.40030338008938,-81.06671308892405,0.01
138,138,-152.21524968082127,-80.91410680199206,0.01
139,139,-72.75604520608094,-81.47171083526229,0.01
140,140,-99.59277145251781,-81.21829777937769,0.01
141,141,-230.7647703383062,-82.12004972724849,0.01
142,142,-209.7600680285459,-83.32185476050279,0.01
143,143,-194.13018232440373,-84.83904868251582,0.01
144,144,-236.10578254026933,-86.15595086256397,0.01
145,145,200.7787863788722,-83.44249512808481,0.01
146,146,-158.58976517536792,-82.6465250024086,0.01
147,147,-31.233471878784215,-82.68691232255586,0.01
148,148,-66.40466047004975,-81.78007121978717,0.01
